Execution Date,Network Code,Subnetwork,Region,Area,People,Water heating,General heating,Usage kWh,Retailer,Plan Name,Tariffs and discounts,Plan attributes,Estimated yearly cost,Prices last changed,Result URL
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Electric Kiwi,Sunday Saver All Inclusive Residential (Low User),Plan Fixed Charge: $2.0700 | All Inclusive Plan variable charge Peak: $0.4097 | All Inclusive Plan variable charge Off Peak: $0.3687 | Assumed percentage of power free: 27% | ,"No fixed term contract | Smart meter required | Free power | Bundle required | Time-of-Use (eg, off-peak)","$2,213*",June 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Powershop,Low User Peak/Off Peak Controlled with $150 credit over 12 months,not applicable,"No fixed term contract | Time-of-Use (eg, off-peak)","$2,283",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Genesis Energy,PowerHome All Inclusive (Low user),Daily Fixed Charge: $1.6732 | All Inclusive: $0.3268 | ,No fixed term contract,"$2,359",January 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Electric Kiwi,MoveMaster All Inclusive Residential (Low User),Plan Fixed Charge: $1.1500 | All Inclusive Peak: $0.5937 | All Inclusive Shoulder: $0.3562 | All Inclusive Night: $0.2968 | Assumed percentage of power free: 9.2% | ,"No fixed term contract | Smart meter required | Free power | Time-of-Use (eg, off-peak)","$2,375",July 2025 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Mercury,Flex Low Use,Daily (c/day): $1.7250 | Peak (c/kWh): $0.3877 | Off Peak (c/kWh): $0.2844 | ,"No fixed term contract | Smart meter required | Time-of-Use (eg, off-peak)","$2,386",June 2023 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Meridian Energy,Low user Freedom Plan Economy 24 (Controlled),Daily: $2.0700 | Economy 24 (Controlled): $0.3052 | ,No fixed term contract,"$2,388",March 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Mercury,Everyday Open Term Low User - All Inclusive,Daily charge: $1.7250 | Inclusive: $0.3326 | ,No fixed term contract,"$2,409",January 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Contact Energy,Good Weekends Controlled Low User Plan,Daily charge: $2.0700 | Free:Weekends 9am - 5pm: $0.0000 | Charged:Weekdays & 5pm-9am Weekends Controlled: $0.3645 | Assumed percentage of power free: 15% | ,No fixed term contract | Smart meter required | Free power,"$2,425",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Octopus Energy,OctopusFlexi Low User TOU (Controlled),Daily charge: $1.7250 | Peak (AICO): $0.4264 | Off-peak (AICO): $0.3459 | Night (AICO): $0.2132 | ,"No fixed term contract | Smart meter required | Time-of-Use (eg, off-peak)","$2,443",March 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Hanergy,Freedom Plan Uncontrolled (Low User),Daily Charge: $1.7250 | Uncontrolled: $0.3436 | Electricity Authority Levy: $0.0022 | ,No fixed term contract,"$2,479",April 2025 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Contact Energy,Basic All Day Economy (Low User),Daily charge: $2.0700 | All Day Economy: $0.3323 | Electricity Authority Levy: $0.0022 | ,No fixed term contract,"$2,545",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Contact Energy,Broadband Bundle All Day Economy (Low User),Daily charge: $2.0700 | All Day Economy: $0.3323 | Electricity Authority Levy: $0.0022 | ,No fixed term contract | Price change pending | Bundle required,"$2,545*",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Electric Kiwi,Everyday All Inclusive Residential (Low User),Daily Fixed Charge: $1.7200 | All Inclusive variable charge peak: $0.4080 | All Inclusive variable charge off-peak: $0.4080 | Assumed percentage of power free: 9.2% | ,No fixed term contract | Smart meter required | Free power,"$2,570",July 2025 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Contact Energy,Good Nights Controlled Low User Plan,Daily charge: $2.0700 | Free: 9pm - Midnight: $0.0000 | Charged Outside of the Free Hours Controlled: $0.4140 | Assumed percentage of power free: 18% | ,"No fixed term contract | Smart meter required | Free power | Time-of-Use (eg, off-peak)","$2,583",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
21/07/2026,UNET,NULL,Auckland,Auckland North / West,1-2 people,Electric hot water cylinder,Heat pump,"5,349",Pulse Energy,Price Promise Plan Low User All Inclusive (All Day),Daily charge: $2.0700 | All Inclusive: $0.3454 | ,No fixed term contract,"$2,603",April 2026 ,https://www.powerswitch.org.nz/results?p=JoQxdrWbkq
